Transaction_ID,Date,Customer_Name,products,Payment_Method,City
1000000117,05-01-2021 21:56,Joseph Guzman,"hamburger meat,other vegetables,whole milk,frozen vegetables,domestic eggs,soda,dishes",Credit Card,San Francisco
1000000118,06-04-2023 20:51,Xavier Tran,"whole milk,cream cheese ,soda",Credit Card,Seattle
1000000119,21-06-2021 07:37,Janet Sullivan,"fish,other vegetables,pastry,margarine,coffee,long life bakery product,male cosmetics,shopping bags",Debit Card,Atlanta
1000000120,26-02-2023 11:40,James Ray,"frankfurter,sausage,long life bakery product,waffles",Mobile Payment,New York
1000000121,21-03-2022 14:49,Jason Marshall,"packaged fruit/vegetables,dessert,semi-finished bread,canned beer",Debit Card,Los Angeles
1000000122,29-08-2020 13:41,Alexander Wright,"pastry,soda",Mobile Payment,Chicago
1000000123,17-09-2023 23:36,Cathy Jackson,"other vegetables,red/blush wine",Credit Card,Miami
1000000124,21-08-2023 07:05,Mercedes Anderson,misc. beverages,Debit Card,Miami
1000000125,02-05-2021 14:10,Anthony Christensen,"frankfurter,sausage,citrus fruit,tropical fruit,pip fruit,whole milk,hard cheese,cream cheese ,domestic eggs,rice,sugar,canned fruit,misc. beverages,fruit/vegetable juice,hygiene articles",Cash,Chicago
1000000126,10-08-2022 00:26,Cameron Walker,sparkling wine,Debit Card,San Francisco
1000000127,02-06-2021 05:16,Paul Brown,specialty bar,Cash,Boston
1000000128,30-04-2024 02:08,Kimberly Stevens,"sausage,butter milk,rolls/buns",Cash,Los Angeles
1000000129,28-10-2020 23:23,Jordan Garcia,curd cheese,Mobile Payment,Houston
1000000130,08-09-2022 07:32,Ryan Joseph II,"frankfurter,dessert",Credit Card,Miami
1000000131,02-09-2022 23:11,Debbie Brown,"whole milk,yogurt,beverages,brown bread,shopping bags",Mobile Payment,Boston
1000000132,18-04-2021 21:43,Dawn Pratt,newspapers,Mobile Payment,Atlanta
1000000133,08-07-2022 20:10,Madison Hill,"berries,soda",Debit Card,Boston
1000000134,28-10-2020 03:12,Kelly Atkinson,"curd,flour,liquor (appetizer)",Mobile Payment,Atlanta
1000000135,04-05-2020 09:30,Patricia Fuller,"tropical fruit,other vegetables,coffee",Mobile Payment,Seattle
1000000136,26-02-2021 11:14,Debra Brown,soda,Credit Card,Chicago
1000000137,02-11-2023 09:25,Brett Hernandez,"rolls/buns,Instant food products",Mobile Payment,Chicago
1000000138,07-04-2021 10:10,Diane Hughes,canned beer,Mobile Payment,Dallas
1000000139,03-11-2022 02:17,Jeffrey Jones,canned beer,Credit Card,Dallas
1000000140,08-12-2020 16:09,Frank Torres,"frankfurter,sausage,whole milk,rolls/buns,margarine",Mobile Payment,San Francisco
1000000141,05-03-2023 04:11,Daniel Mcguire,"other vegetables,misc. beverages,canned beer",Credit Card,Miami
1000000142,18-03-2023 16:05,Russell Harmon,"whole milk,frozen vegetables",Cash,Miami
1000000143,04-04-2024 05:28,John Benitez,whole milk,Credit Card,Miami
1000000144,19-11-2022 23:47,Wesley Delacruz,"citrus fruit,butter,cream cheese ,white bread,oil,margarine,newspapers",Cash,San Francisco
1000000145,07-02-2023 02:49,Shannon Reid,"frankfurter,rolls/buns",Mobile Payment,Seattle
1000000146,31-12-2022 19:41,Steven Brown,"frankfurter,ham,pip fruit,other vegetables,whole milk,soft cheese,frozen vegetables,rolls/buns,sugar,baking powder",Debit Card,Miami
1000000147,18-03-2021 13:20,Harold Miller,"butter milk,yogurt,honey,soda,detergent",Cash,Los Angeles
1000000148,28-07-2023 08:34,Jessica Middleton,"hamburger meat,citrus fruit,onions,rolls/buns,bottled water,dental care",Debit Card,Chicago
1000000149,11-04-2021 04:00,Luke Bell,"pasta,popcorn",Debit Card,Houston
1000000150,22-09-2020 10:18,James Morales,"other vegetables,whole milk,meat spreads,cake bar,chocolate,shopping bags",Debit Card,Seattle
1000000151,17-04-2021 12:55,Ian Wilkinson,"sausage,pork,citrus fruit,dessert,white bread,dishes,candles",Debit Card,San Francisco
1000000152,28-07-2020 04:10,Jason Andrade,rolls/buns,Credit Card,Los Angeles
1000000153,11-12-2023 12:45,Zachary Anderson,"grapes,other vegetables,curd,dessert,yogurt,napkins",Cash,New York
1000000154,20-09-2023 21:00,Michael Perkins,"root vegetables,other vegetables,whole milk,yogurt,beverages,soft cheese,frozen vegetables,fruit/vegetable juice,bottled beer",Credit Card,Seattle
1000000155,18-04-2020 01:29,Andre Davis,"coffee,shopping bags",Mobile Payment,Los Angeles
1000000156,09-10-2023 12:34,Heather Le,popcorn,Cash,Dallas
1000000157,11-10-2021 03:22,Morgan Black,"whole milk,rolls/buns,sugar,bottled water,soda",Mobile Payment,San Francisco
1000000158,19-03-2023 13:07,Chelsea Harding,"tropical fruit,other vegetables,packaged fruit/vegetables,whole milk,snack products",Debit Card,Seattle
1000000159,20-11-2021 09:58,Tracy Bruce,"beef,herbs,flour,cling film/bags,flower soil/fertilizer",Mobile Payment,Miami
1000000160,28-02-2024 14:41,Michael Perez,"whole milk,butter,dessert,rolls/buns",Mobile Payment,New York
1000000161,10-03-2022 22:42,Ryan Atkinson,"frankfurter,soda,chewing gum",Mobile Payment,Miami
1000000162,26-10-2022 23:16,Trevor Miller,"tropical fruit,specialty cheese,bottled water",Mobile Payment,Chicago
1000000163,20-08-2020 15:17,Lisa Taylor,canned beer,Cash,Chicago
1000000164,03-12-2023 03:08,Erik Russell,"finished products,other vegetables,frozen vegetables,bottled beer",Cash,Los Angeles
1000000165,25-04-2021 05:04,Ms. Bianca Larson DDS,"beverages,soda",Mobile Payment,New York
1000000166,24-04-2024 21:49,Gary Jones,"hamburger meat,root vegetables,whole milk",Cash,Dallas
1000000167,24-10-2020 14:25,Douglas Gray,"whole milk,pastry,long life bakery product",Cash,Los Angeles
1000000168,28-06-2020 18:14,Lori Davis,"finished products,white wine,shopping bags",Credit Card,Seattle
1000000169,24-06-2023 14:37,Kelly Hall MD,other vegetables,Debit Card,New York
1000000170,03-09-2023 18:28,Scott Johnson,"ham,tropical fruit,other vegetables,whole milk,white bread,brown bread,fruit/vegetable juice,bottled beer",Mobile Payment,Dallas
1000000171,14-02-2023 22:57,Regina Andersen,other vegetables,Mobile Payment,Los Angeles
1000000172,27-08-2021 21:54,Jennifer Schmidt,"curd,butter milk,cocoa drinks,salty snack,popcorn",Credit Card,Seattle
1000000173,11-11-2020 23:34,Manuel Drake,bottled beer,Mobile Payment,Dallas
1000000174,16-04-2021 22:38,James Ho DDS,"curd,dessert,soda,salty snack,waffles,cake bar,chocolate,shopping bags",Cash,Seattle
1000000175,07-04-2024 21:08,Ryan Snow,"whole milk,cream cheese ,cereals,dog food",Cash,Seattle
1000000176,23-01-2023 07:31,Jessica Nolan,"whole milk,salt",Debit Card,Seattle
1000000177,13-11-2022 20:33,Joann Davies,"dessert,ice cream",Credit Card,Chicago
1000000178,17-03-2024 00:34,Lori Hill,"sausage,soft cheese,coffee",Debit Card,Chicago
1000000179,16-12-2021 19:32,Trevor Jenkins,"other vegetables,bottled water,waffles,dishes,shopping bags",Debit Card,San Francisco
1000000180,21-06-2021 05:47,Jose Baker,"ham,whole milk,rolls/buns",Mobile Payment,Los Angeles
1000000181,05-12-2020 01:54,Courtney Meyer,"other vegetables,ice cream",Debit Card,Chicago
1000000182,18-11-2020 08:26,John Burton,"other vegetables,bottled water",Credit Card,New York
1000000183,31-12-2021 01:19,Janet Robinson,"soda,bottled beer,white wine,prosecco",Debit Card,San Francisco
1000000184,09-03-2022 04:31,Mitchell Jackson,"herbs,candy",Mobile Payment,Atlanta
1000000185,31-03-2020 05:22,Paula Gutierrez,"frankfurter,ham,tropical fruit,pip fruit,root vegetables,other vegetables,whole milk,butter,curd,yogurt,whipped/sour cream,soft cheese,sliced cheese,cream cheese ,frozen meals,frozen fish,domestic eggs,white bread,sugar,cereals,fruit/vegetable juice,bottled beer,waffles",Mobile Payment,Los Angeles
1000000186,06-01-2022 08:14,Rebecca Rice,"rolls/buns,canned beer",Cash,San Francisco
1000000187,15-09-2022 21:05,Samantha Wallace,"curd,cream cheese ,semi-finished bread,zwieback,cake bar,specialty bar,shopping bags",Mobile Payment,Dallas
1000000188,13-09-2022 05:58,Luke Hall,"frankfurter,tropical fruit,whole milk,spread cheese,margarine,shopping bags",Mobile Payment,Los Angeles
1000000189,28-03-2021 23:25,Michael Gonzalez,other vegetables,Credit Card,Seattle
1000000190,14-01-2024 10:01,Tyler Smith,dog food,Mobile Payment,Chicago
1000000191,11-02-2020 11:41,Terry Norman,specialty bar,Debit Card,San Francisco
1000000192,26-04-2024 00:16,Cody Cobb,"curd,salt,liquor (appetizer),detergent,shopping bags",Debit Card,Houston
1000000193,13-10-2020 15:30,Sierra Scott,"frankfurter,rolls/buns",Debit Card,Boston
1000000194,24-07-2020 06:17,Emily Underwood,soda,Cash,Houston
1000000195,01-04-2023 14:19,Arthur Myers,"beef,berries,root vegetables,whole milk,dessert,spread cheese,brown bread",Mobile Payment,Miami
1000000196,24-04-2022 04:38,Nicole Cantrell,canned beer,Cash,Dallas
1000000197,04-06-2022 19:22,John Martin,"pork,beef,pip fruit,herbs,spices",Cash,Miami
1000000198,26-01-2021 05:46,Jerry Williams,"frankfurter,citrus fruit,UHT-milk,margarine,sugar",Debit Card,Chicago
1000000199,06-02-2022 01:27,Jeffrey Brown,"sausage,bottled beer,liquor (appetizer)",Cash,Miami
1000000200,11-06-2023 10:26,Andrea Snyder,canned beer,Debit Card,Boston
1000000201,16-02-2024 00:17,Nancy Jackson,specialty chocolate,Debit Card,Houston
1000000202,01-03-2020 20:12,Olivia Jimenez,"curd,rolls/buns",Mobile Payment,Atlanta
1000000203,11-09-2021 18:36,Angel Garcia,canned beer,Credit Card,Seattle
1000000204,29-11-2023 19:00,Amy Rodriguez,"whole milk,bottled water,newspapers",Cash,Miami
1000000205,27-12-2023 05:05,Angela Clark,"rolls/buns,chewing gum",Mobile Payment,San Francisco
1000000206,01-05-2023 05:29,Kelly Thompson,"pork,root vegetables,other vegetables,whole milk,dishes",Mobile Payment,San Francisco
1000000207,10-04-2021 08:08,Ryan Melendez,"citrus fruit,pastry",Mobile Payment,Chicago
1000000208,01-06-2022 00:16,Kimberly Cisneros,pot plants,Cash,Chicago
1000000209,20-08-2021 06:00,Cole Smith,"rolls/buns,pastry,soda",Cash,Boston
1000000210,17-09-2023 01:37,Craig Smith,"butter,yogurt,bottled water,soda,make up remover,hygiene articles",Credit Card,Miami
1000000211,04-05-2021 16:16,Rodney Randolph,"condensed milk,sugar,coffee,shopping bags",Debit Card,Houston
1000000212,30-09-2020 11:28,Patrick Campbell,"sausage,other vegetables,yogurt,soda,shopping bags",Cash,Boston
1000000213,30-09-2021 05:17,Emily Whitehead,"whole milk,beverages,UHT-milk,soda",Credit Card,Miami
1000000214,12-05-2023 08:08,Shawn Joyce,"sausage,pork,beef,whole milk,rolls/buns,margarine",Mobile Payment,Seattle
1000000215,03-01-2020 23:36,Ashley White,beverages,Credit Card,Los Angeles
1000000216,03-05-2022 19:43,Richard Harris,"beverages,specialty bar",Mobile Payment,Dallas
1000000217,18-09-2021 05:56,Matthew Bowen,"bottled water,fruit/vegetable juice",Cash,Boston
1000000218,04-09-2021 06:01,James Smith,newspapers,Credit Card,Los Angeles
1000000219,06-11-2020 04:18,Julia Baldwin,"cleaner,female sanitary products",Mobile Payment,New York
1000000220,02-02-2024 13:06,Kathleen Cline,"sausage,soda,newspapers,shopping bags",Debit Card,Miami
1000000221,20-04-2023 04:26,Ashley Jones,newspapers,Credit Card,Houston
1000000222,05-02-2021 07:29,Matthew Hogan,"sausage,beef,citrus fruit,other vegetables,whole milk,butter milk,whipped/sour cream,beverages,hard cheese,rolls/buns,dish cleaner,cookware",Cash,San Francisco
1000000223,01-03-2023 23:31,Kristin Hudson,"misc. beverages,newspapers",Debit Card,San Francisco
1000000224,09-10-2020 05:10,Terri Dunn,white wine,Credit Card,Atlanta
1000000225,13-08-2021 13:03,Jorge Keller,"sausage,sliced cheese,rolls/buns,soda,canned beer,shopping bags",Credit Card,San Francisco
1000000226,17-11-2022 05:57,Leslie Bell,"meat,curd,bottled beer,cake bar",Debit Card,Seattle
1000000227,15-02-2020 09:07,Bradley Flynn,"frankfurter,meat,tropical fruit,onions,oil,baking powder,tea,cling film/bags",Cash,San Francisco
1000000228,21-02-2021 21:33,Morgan Phillips,"ice cream,rolls/buns,canned beer",Cash,Atlanta
1000000229,10-07-2021 18:05,Victoria Duran,canned beer,Credit Card,San Francisco
1000000230,15-05-2022 13:30,Bruce Smith,"tropical fruit,berries,root vegetables,other vegetables,bottled water,shopping bags",Debit Card,Dallas
1000000231,15-09-2022 19:30,Miss Jaime Roy MD,"meat,citrus fruit,other vegetables,curd,dessert,butter milk,beverages,cream cheese ,rolls/buns,brown bread,tea,bottled water",Cash,San Francisco
1000000232,12-07-2021 19:21,Paul Kline,"whole milk,mustard,bottled water",Debit Card,San Francisco
1000000233,24-04-2023 04:09,Mary Ryan,"sausage,beef,beverages,sliced cheese,rolls/buns,spices,house keeping products,flower (seeds)",Cash,Seattle
1000000234,09-05-2023 07:42,Charles Parrish,"frankfurter,sausage,root vegetables,butter,curd,sliced cheese,rolls/buns,salty snack,long life bakery product",Credit Card,Houston
1000000235,06-12-2023 22:36,Victor Baker,"meat,other vegetables,butter,rolls/buns",Mobile Payment,Chicago
1000000236,24-07-2023 04:23,Mary Graham,"root vegetables,beverages,Instant food products,pickled vegetables,detergent",Mobile Payment,Miami
1000000237,04-12-2023 13:25,Matthew Peterson,"root vegetables,herbs,other vegetables,whole milk,sliced cheese,rolls/buns",Mobile Payment,Seattle
1000000238,25-04-2023 09:57,Leslie Walsh,"whole milk,whipped/sour cream,semi-finished bread,margarine",Cash,Miami
1000000239,31-08-2022 22:42,Gabriel Lucero,"citrus fruit,whole milk,curd,dessert,yogurt,whipped/sour cream,frozen dessert,rolls/buns,salt,sugar,cereals,canned vegetables,canned fish,skin care,hygiene articles,napkins",Mobile Payment,Chicago
1000000240,21-11-2022 07:58,Connor Moore,"citrus fruit,curd,pastry,margarine,sugar,candy,newspapers",Cash,Dallas
1000000241,03-12-2022 02:43,Amy Campbell,"other vegetables,whole milk,bottled water,soda,misc. beverages,bottled beer,red/blush wine,napkins",Debit Card,San Francisco
1000000242,20-04-2020 02:30,Lee Ramirez,"citrus fruit,whole milk,rolls/buns",Mobile Payment,Chicago
